snapshot_id,week_ending,sku_id,units_on_hand,units_on_order,reorder_point,reorder_qty,days_on_hand,inventory_value,stockout_flag
SNP0000000,2025-06-07,SKU00001,87,265,173,265,9.2,2624.79,0
SNP0000001,2025-06-14,SKU00001,310,0,173,265,32.8,9352.7,0
SNP0000002,2025-06-21,SKU00001,359,0,173,265,38.0,10831.03,0
SNP0000003,2025-06-28,SKU00001,262,0,173,265,27.7,7904.54,0
SNP0000004,2025-07-05,SKU00001,8,265,173,265,0.8,241.36,0
SNP0000005,2025-07-12,SKU00001,188,0,173,265,19.9,5671.96,0
SNP0000006,2025-07-19,SKU00001,196,0,173,265,20.7,5913.32,0
SNP0000007,2025-07-26,SKU00001,153,265,173,265,16.2,4616.01,0
SNP0000008,2025-08-02,SKU00001,79,265,173,265,8.4,2383.43,0
SNP0000009,2025-08-09,SKU00001,288,0,173,265,30.4,8688.96,0
SNP0000010,2025-08-16,SKU00001,401,0,173,265,42.4,12098.17,0
SNP0000011,2025-08-23,SKU00001,256,0,173,265,27.1,7723.52,0
SNP0000012,2025-08-30,SKU00001,109,265,173,265,11.5,3288.53,0
SNP0000013,2025-09-06,SKU00001,283,0,173,265,29.9,8538.11,0
SNP0000014,2025-09-13,SKU00001,60,265,173,265,6.3,1810.2,0
SNP0000015,2025-09-20,SKU00001,413,0,173,265,43.7,12460.21,0
SNP0000016,2025-09-27,SKU00001,185,0,173,265,19.6,5581.45,0
SNP0000017,2025-10-04,SKU00001,39,265,173,265,4.1,1176.63,0
SNP0000018,2025-10-11,SKU00001,307,0,173,265,32.5,9262.19,0
SNP0000019,2025-10-18,SKU00001,270,0,173,265,28.5,8145.9,0
SNP0000020,2025-10-25,SKU00001,418,0,173,265,44.2,12611.06,0
SNP0000021,2025-11-01,SKU00001,379,0,173,265,40.1,11434.43,0
SNP0000022,2025-11-08,SKU00001,398,0,173,265,42.1,12007.66,0
SNP0000023,2025-11-15,SKU00001,320,0,173,265,33.8,9654.4,0
SNP0000024,2025-11-22,SKU00001,177,0,173,265,18.7,5340.09,0
SNP0000025,2025-11-29,SKU00001,383,0,173,265,40.5,11555.11,0
SNP0000026,2025-12-06,SKU00001,41,265,173,265,4.3,1236.97,0
SNP0000027,2025-12-13,SKU00001,372,0,173,265,39.3,11223.24,0
SNP0000028,2025-12-20,SKU00001,16,265,173,265,1.7,482.72,0
SNP0000029,2025-12-27,SKU00001,68,265,173,265,7.2,2051.56,0
SNP0000030,2026-01-03,SKU00001,184,0,173,265,19.5,5551.28,0
SNP0000031,2026-01-10,SKU00001,318,0,173,265,33.6,9594.06,0
SNP0000032,2026-01-17,SKU00001,425,0,173,265,44.9,12822.25,0
SNP0000033,2026-01-24,SKU00001,222,0,173,265,23.5,6697.74,0
SNP0000034,2026-01-31,SKU00001,248,0,173,265,26.2,7482.16,0
SNP0000035,2026-02-07,SKU00001,231,0,173,265,24.4,6969.27,0
SNP0000036,2026-02-14,SKU00001,348,0,173,265,36.8,10499.16,0
SNP0000037,2026-02-21,SKU00001,188,0,173,265,19.9,5671.96,0
SNP0000038,2026-02-28,SKU00001,204,0,173,265,21.6,6154.68,0
SNP0000039,2026-03-07,SKU00001,159,265,173,265,16.8,4797.03,0
SNP0000040,2026-03-14,SKU00001,51,265,173,265,5.4,1538.67,0
SNP0000041,2026-03-21,SKU00001,408,0,173,265,43.1,12309.36,0
SNP0000042,2026-03-28,SKU00001,214,0,173,265,22.6,6456.38,0
SNP0000043,2026-04-04,SKU00001,188,0,173,265,19.9,5671.96,0
SNP0000044,2026-04-11,SKU00001,240,0,173,265,25.4,7240.8,0
SNP0000045,2026-04-18,SKU00001,57,265,173,265,6.0,1719.69,0
SNP0000046,2026-04-25,SKU00001,97,265,173,265,10.3,2926.49,0
SNP0000047,2026-05-02,SKU00001,2,265,173,265,0.2,60.34,0
SNP0000048,2026-05-09,SKU00001,305,0,173,265,32.2,9201.85,0
SNP0000049,2026-05-16,SKU00001,136,265,173,265,14.4,4103.12,0
SNP0000050,2026-05-23,SKU00001,258,0,173,265,27.3,7783.86,0
SNP0000051,2026-05-30,SKU00001,158,265,173,265,16.7,4766.86,0
SNP0000052,2025-06-07,SKU00002,300,0,115,428,19.6,4494.0,0
SNP0000053,2025-06-14,SKU00002,158,0,115,428,10.3,2366.84,0
SNP0000054,2025-06-21,SKU00002,166,0,115,428,10.9,2486.68,0
SNP0000055,2025-06-28,SKU00002,198,0,115,428,13.0,2966.04,0
SNP0000056,2025-07-05,SKU00002,182,0,115,428,11.9,2726.36,0
SNP0000057,2025-07-12,SKU00002,371,0,115,428,24.3,5557.58,0
SNP0000058,2025-07-19,SKU00002,438,0,115,428,28.7,6561.24,0
SNP0000059,2025-07-26,SKU00002,103,428,115,428,6.7,1542.94,0
SNP0000060,2025-08-02,SKU00002,214,0,115,428,14.0,3205.72,0
SNP0000061,2025-08-09,SKU00002,112,428,115,428,7.3,1677.76,0
SNP0000062,2025-08-16,SKU00002,488,0,115,428,32.0,7310.24,0
SNP0000063,2025-08-23,SKU00002,441,0,115,428,28.9,6606.18,0
