return_id,transaction_id,sku_id,customer_id,return_date,units_returned,return_reason,return_value,restockable,handling_cost
RET0000000,TXN00173983,SKU00094,CUST0190,2024-08-27,3,Overstock,105.72,1,17.53
RET0000001,TXN00626201,SKU00429,CUST0049,2024-08-11,1,Duplicate Order,145.31,1,5.15
RET0000002,TXN00269674,SKU00165,CUST0114,2025-04-26,2,Overstock,183.46,1,4.94
RET0000003,TXN00472474,SKU00313,CUST0185,2024-09-03,1,Overstock,74.35,1,2.72
RET0000004,TXN00413417,SKU00264,CUST0040,2023-07-15,1,Overstock,379.64,1,3.64
RET0000005,TXN00437081,SKU00279,CUST0031,2024-10-08,2,Duplicate Order,32.78,1,7.4
RET0000006,TXN00555542,SKU00381,CUST0085,2024-05-13,1,Damaged in Transit,30.71,0,5.63
RET0000007,TXN00452816,SKU00292,CUST0192,2023-10-17,1,Duplicate Order,333.2,1,2.34
RET0000008,TXN00435943,SKU00279,CUST0172,2023-07-31,1,Defective,16.39,0,4.34
RET0000009,TXN00366384,SKU00230,CUST0037,2025-05-03,2,Overstock,256.58,1,10.25
RET0000010,TXN00658189,SKU00441,CUST0095,2025-09-07,1,Defective,223.66,0,4.0
RET0000011,TXN00273946,SKU00169,CUST0046,2024-06-26,3,Wrong Part,607.8,0,14.91
RET0000012,TXN00334134,SKU00208,CUST0126,2025-03-27,2,Wrong Part,309.86,1,10.65
RET0000013,TXN00413197,SKU00263,CUST0037,2026-04-21,2,Wrong Part,318.72,1,3.19
RET0000014,TXN00727588,SKU00490,CUST0083,2023-11-11,1,Defective,165.77,0,5.89
RET0000015,TXN00390298,SKU00248,CUST0147,2024-05-15,1,Damaged in Transit,205.99,0,4.7
RET0000016,TXN00742099,SKU00500,CUST0137,2024-10-17,3,Overstock,242.79,1,5.7
RET0000017,TXN00116605,SKU00059,CUST0159,2025-10-08,1,Wrong Part,559.94,0,4.82
RET0000018,TXN00436461,SKU00279,CUST0055,2024-02-13,1,Duplicate Order,12.94,1,3.11
RET0000019,TXN00399221,SKU00254,CUST0018,2023-07-18,1,Duplicate Order,182.25,1,4.26
